Country,State,Year,City name,Type of impacting vehicles or objects,Number of road accidents,Number of persons killed in road accidents ,Number of grievously injured persons,Number of minor injured persons
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2021",Vijaywada city,Other Non-motorized vehicle (E-rickshaw etc.),0,0,0,0
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2021",Vizag,Others,108,11,3,10
India,Gujarat,"Financial Year (Apr - Mar), 2019",Ahmedabad,Trucks/Lorries,18,13,6,7
India,Kerala,"Financial Year (Apr - Mar), 2019",Kollam,Other Non-motorized vehicle (E-rickshaw etc.),24,10,14,1
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2020",Vijaywada city,Auto Rickshaws,43,8,32,45
India,Bihar,"Financial Year (Apr - Mar), 2019",Patna,Trucks/Lorries,37,6,25,0
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2019",Vijaywada city,Trucks/Lorries,24,4,7,7
India,Gujarat,"Financial Year (Apr - Mar), 2020",Ahmedabad,Pedestrian,398,151,157,90
India,Jharkhand,"Financial Year (Apr - Mar), 2021",Dhanbad,Trucks/Lorries,0,0,0,0
India,Haryana,"Financial Year (Apr - Mar), 2019",Faridabad,Buses,1,1,0,0
India,Jharkhand,"Financial Year (Apr - Mar), 2019",Dhanbad,Trucks/Lorries,2,2,0,0
India,Bihar,"Financial Year (Apr - Mar), 2020",Patna,Other Non-motorized vehicle (E-rickshaw etc.),5,3,3,0
India,Delhi,"Financial Year (Apr - Mar), 2019",Delhi,"Cars, Taxis, Vans & LMV",910,233,107,802
India,Bihar,"Financial Year (Apr - Mar), 2020",Patna,Bicycles,22,19,5,0
India,Chandigarh,"Financial Year (Apr - Mar), 2020",Chandigarh,Others,0,0,0,0
India,Haryana,"Financial Year (Apr - Mar), 2021",Faridabad,Buses,0,0,0,0
India,Gujarat,"Financial Year (Apr - Mar), 2019",Surat,Auto Rickshaws,21,7,23,5
India,Karnataka,"Financial Year (Apr - Mar), 2020",Bengaluru,Buses,15,3,6,3
India,Chandigarh,"Financial Year (Apr - Mar), 2019",Chandigarh,Pedestrian,88,36,2,57
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2019",Vijaywada city,Buses,21,2,48,12
India,Jammu And Kashmir,"Financial Year (Apr - Mar), 2019",Srinagar,Two Wheelers,80,11,0,69
India,Haryana,"Financial Year (Apr - Mar), 2020",Faridabad,Other Non-motorized vehicle (E-rickshaw etc.),0,0,0,0
India,Gujarat,"Financial Year (Apr - Mar), 2019",Ahmedabad,Pedestrian,418,135,195,153
India,Jharkhand,"Financial Year (Apr - Mar), 2019",Jamshedpur,Two Wheelers,79,47,35,7
India,Karnataka,"Financial Year (Apr - Mar), 2020",Bengaluru,Two Wheelers,1774,423,1111,633
India,Chhattisgarh,"Financial Year (Apr - Mar), 2021",Raipur,Other Non-motorized vehicle (E-rickshaw etc.),5,0,0,5
India,Gujarat,"Financial Year (Apr - Mar), 2020",Rajkot,"Cars, Taxis, Vans & LMV",38,20,8,19
India,Gujarat,"Financial Year (Apr - Mar), 2021",Rajkot,Other Non-motorized vehicle (E-rickshaw etc.),1,0,1,0
India,Karnataka,"Financial Year (Apr - Mar), 2019",Bengaluru,"Cars, Taxis, Vans & LMV",581,34,148,253
India,Gujarat,"Financial Year (Apr - Mar), 2021",Vadodra,"Cars, Taxis, Vans & LMV",56,7,4,11
India,Bihar,"Financial Year (Apr - Mar), 2021",Patna,"Cars, Taxis, Vans & LMV",70,24,28,1
India,Gujarat,"Financial Year (Apr - Mar), 2019",Vadodra,Auto Rickshaws,33,8,15,12
India,Chhattisgarh,"Financial Year (Apr - Mar), 2020",Raipur,Trucks/Lorries,144,13,1,22
India,Jammu And Kashmir,"Financial Year (Apr - Mar), 2020",Srinagar,Auto Rickshaws,8,2,0,6
India,Gujarat,"Financial Year (Apr - Mar), 2020",Ahmedabad,Auto Rickshaws,88,15,20,40
India,Karnataka,"Financial Year (Apr - Mar), 2021",Bengaluru,Pedestrian,692,160,440,136
India,Gujarat,"Financial Year (Apr - Mar), 2019",Vadodra,Buses,16,3,2,27
India,Gujarat,"Financial Year (Apr - Mar), 2020",Vadodra,"Cars, Taxis, Vans & LMV",55,6,12,10
India,Gujarat,"Financial Year (Apr - Mar), 2020",Vadodra,Auto Rickshaws,16,4,9,15
India,Kerala,"Financial Year (Apr - Mar), 2019",Thiruvanthapuram,Two Wheelers,1005,105,903,183
India,Chandigarh,"Financial Year (Apr - Mar), 2019",Chandigarh,Trucks/Lorries,1,1,0,0
India,Haryana,"Financial Year (Apr - Mar), 2020",Faridabad,Auto Rickshaws,19,4,3,24
India,Haryana,"Financial Year (Apr - Mar), 2019",Faridabad,Trucks/Lorries,11,10,0,5
India,Jharkhand,"Financial Year (Apr - Mar), 2021",Jamshedpur,Auto Rickshaws,18,8,15,0
India,Jammu And Kashmir,"Financial Year (Apr - Mar), 2019",Srinagar,"Cars, Taxis, Vans & LMV",159,24,0,197
India,Jammu And Kashmir,"Financial Year (Apr - Mar), 2021",Srinagar,Pedestrian,207,29,3,227
India,Gujarat,"Financial Year (Apr - Mar), 2019",Vadodra,Two Wheelers,321,77,209,98
India,Gujarat,"Financial Year (Apr - Mar), 2019",Rajkot,Other Non-motorized vehicle (E-rickshaw etc.),0,0,0,0
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2019",Vizag,Trucks/Lorries,128,18,46,8
India,Gujarat,"Financial Year (Apr - Mar), 2021",Ahmedabad,Bicycles,58,16,28,15
India,Jammu And Kashmir,"Financial Year (Apr - Mar), 2020",Srinagar,Trucks/Lorries,5,2,0,3
India,Jharkhand,"Financial Year (Apr - Mar), 2020",Dhanbad,"Cars, Taxis, Vans & LMV",9,2,6,5
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2020",Vizag,Other Non-motorized vehicle (E-rickshaw etc.),29,5,13,12
India,Delhi,"Financial Year (Apr - Mar), 2021",Delhi,Two Wheelers,1935,471,85,1781
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2020",Vijaywada city,Trucks/Lorries,16,8,5,3
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2020",Vizag,Auto Rickshaws,63,5,52,23
India,Delhi,"Financial Year (Apr - Mar), 2019",Delhi,Two Wheelers,1919,490,274,1376
India,Bihar,"Financial Year (Apr - Mar), 2019",Patna,Buses,16,5,10,0
India,Jharkhand,"Financial Year (Apr - Mar), 2019",Jamshedpur,Bicycles,19,11,11,0
India,Gujarat,"Financial Year (Apr - Mar), 2021",Vadodra,Buses,4,0,3,2
India,Kerala,"Financial Year (Apr - Mar), 2019",Kannur,Trucks/Lorries,35,8,22,12
India,Kerala,"Financial Year (Apr - Mar), 2019",Kollam,Pedestrian,0,0,0,0
India,Delhi,"Financial Year (Apr - Mar), 2020",Delhi,Auto Rickshaws,89,12,4,111
India,Gujarat,"Financial Year (Apr - Mar), 2020",Rajkot,Other Non-motorized vehicle (E-rickshaw etc.),3,0,3,4
India,Jharkhand,"Financial Year (Apr - Mar), 2019",Dhanbad,Auto Rickshaws,12,8,5,0
India,Delhi,"Financial Year (Apr - Mar), 2019",Delhi,Pedestrian,1161,364,206,653
India,Jharkhand,"Financial Year (Apr - Mar), 2021",Dhanbad,Auto Rickshaws,5,2,4,0
India,Haryana,"Financial Year (Apr - Mar), 2020",Faridabad,Bicycles,26,17,2,14
India,Delhi,"Financial Year (Apr - Mar), 2020",Delhi,Pedestrian,1621,505,83,1159
India,Chandigarh,"Financial Year (Apr - Mar), 2021",Chandigarh,Two Wheelers,80,40,5,71
India,Gujarat,"Financial Year (Apr - Mar), 2021",Vadodra,Others,0,0,0,0
India,Delhi,"Financial Year (Apr - Mar), 2020",Delhi,Bicycles,152,48,2,112
India,Chandigarh,"Financial Year (Apr - Mar), 2019",Chandigarh,"Cars, Taxis, Vans & LMV",39,3,1,16
India,Jharkhand,"Financial Year (Apr - Mar), 2020",Jamshedpur,Other Non-motorized vehicle (E-rickshaw etc.),3,2,3,0
India,Kerala,"Financial Year (Apr - Mar), 2019",Khozikode,Bicycles,0,0,0,0
India,Jharkhand,"Financial Year (Apr - Mar), 2021",Jamshedpur,Two Wheelers,33,10,29,1
India,Gujarat,"Financial Year (Apr - Mar), 2020",Rajkot,Others,3,1,4,0
India,Jharkhand,"Financial Year (Apr - Mar), 2020",Jamshedpur,Auto Rickshaws,17,6,12,1
India,Jharkhand,"Financial Year (Apr - Mar), 2020",Dhanbad,Buses,2,2,1,0
India,Gujarat,"Financial Year (Apr - Mar), 2020",Surat,Auto Rickshaws,47,8,24,10
India,Chhattisgarh,"Financial Year (Apr - Mar), 2019",Raipur,Other Non-motorized vehicle (E-rickshaw etc.),5,0,1,4
India,Kerala,"Financial Year (Apr - Mar), 2019",Khozikode,Pedestrian,0,0,0,0
India,Jammu And Kashmir,"Financial Year (Apr - Mar), 2021",Srinagar,Auto Rickshaws,6,0,0,6
India,Kerala,"Financial Year (Apr - Mar), 2020",Kannur,Auto Rickshaws,47,2,27,36
India,Gujarat,"Financial Year (Apr - Mar), 2020",Ahmedabad,Other Non-motorized vehicle (E-rickshaw etc.),0,0,0,0
India,Kerala,"Financial Year (Apr - Mar), 2019",Kochi,Pedestrian,0,0,0,0
India,Haryana,"Financial Year (Apr - Mar), 2019",Faridabad,"Cars, Taxis, Vans & LMV",39,15,2,57
India,Chandigarh,"Financial Year (Apr - Mar), 2020",Chandigarh,Bicycles,20,10,0,14
India,Delhi,"Financial Year (Apr - Mar), 2019",Delhi,Trucks/Lorries,166,62,15,102
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2019",Vijaywada city,Pedestrian,424,103,108,241
India,Jammu And Kashmir,"Financial Year (Apr - Mar), 2019",Srinagar,Others,58,5,0,48
India,Haryana,"Financial Year (Apr - Mar), 2021",Faridabad,"Cars, Taxis, Vans & LMV",30,14,2,36
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2019",Vijaywada city,Others,28,5,1,14
India,Kerala,"Financial Year (Apr - Mar), 2019",Khozikode,Two Wheelers,636,71,478,151
India,Bihar,"Financial Year (Apr - Mar), 2019",Patna,Two Wheelers,210,89,108,4
India,Gujarat,"Financial Year (Apr - Mar), 2020",Vadodra,Other Non-motorized vehicle (E-rickshaw etc.),0,0,0,0
India,Jharkhand,"Financial Year (Apr - Mar), 2019",Dhanbad,"Cars, Taxis, Vans & LMV",8,5,1,0
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2019",Vizag,Pedestrian,392,98,240,87
India,Karnataka,"Financial Year (Apr - Mar), 2019",Bengaluru,Other Non-motorized vehicle (E-rickshaw etc.),0,0,0,0
India,Jharkhand,"Financial Year (Apr - Mar), 2021",Dhanbad,Two Wheelers,84,48,31,16
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2019",Vijaywada city,Two Wheelers,763,201,240,497
India,Gujarat,"Financial Year (Apr - Mar), 2019",Surat,Pedestrian,352,118,189,45
India,Jharkhand,"Financial Year (Apr - Mar), 2019",Dhanbad,Two Wheelers,92,75,17,10
India,Jammu And Kashmir,"Financial Year (Apr - Mar), 2020",Srinagar,Bicycles,0,0,0,0
India,Haryana,"Financial Year (Apr - Mar), 2021",Faridabad,Trucks/Lorries,6,3,1,3
India,Gujarat,"Financial Year (Apr - Mar), 2019",Surat,Two Wheelers,442,138,281,95
India,Gujarat,"Financial Year (Apr - Mar), 2019",Vadodra,"Cars, Taxis, Vans & LMV",85,15,23,23
India,Jharkhand,"Financial Year (Apr - Mar), 2021",Jamshedpur,Trucks/Lorries,11,6,9,0
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2020",Vijaywada city,Buses,9,3,6,2
India,Delhi,"Financial Year (Apr - Mar), 2021",Delhi,Trucks/Lorries,19,6,1,13
India,Gujarat,"Financial Year (Apr - Mar), 2021",Ahmedabad,Buses,8,1,3,2
India,Karnataka,"Financial Year (Apr - Mar), 2019",Bengaluru,Bicycles,47,13,21,20
India,Gujarat,"Financial Year (Apr - Mar), 2019",Surat,"Cars, Taxis, Vans & LMV",55,12,21,33
India,Gujarat,"Financial Year (Apr - Mar), 2021",Vadodra,Auto Rickshaws,21,5,15,8
India,Gujarat,"Financial Year (Apr - Mar), 2020",Surat,Two Wheelers,296,98,206,62
India,Chhattisgarh,"Financial Year (Apr - Mar), 2021",Raipur,Others,76,8,9,23
India,Karnataka,"Financial Year (Apr - Mar), 2019",Bengaluru,Auto Rickshaws,184,16,71,72
India,Gujarat,"Financial Year (Apr - Mar), 2021",Ahmedabad,"Cars, Taxis, Vans & LMV",62,8,21,39
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2020",Vizag,Others,81,25,9,16
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2019",Vijaywada city,"Cars, Taxis, Vans & LMV",142,18,20,69
India,Kerala,"Financial Year (Apr - Mar), 2019",Kollam,Auto Rickshaws,175,4,173,24
India,Gujarat,"Financial Year (Apr - Mar), 2020",Rajkot,Pedestrian,79,35,34,13
India,Karnataka,"Financial Year (Apr - Mar), 2021",Bengaluru,Other Non-motorized vehicle (E-rickshaw etc.),0,0,0,0
India,Jharkhand,"Financial Year (Apr - Mar), 2019",Jamshedpur,Auto Rickshaws,32,12,20,7
India,Karnataka,"Financial Year (Apr - Mar), 2020",Bengaluru,Others,9,3,1,8
India,Chandigarh,"Financial Year (Apr - Mar), 2021",Chandigarh,Pedestrian,41,24,1,18
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2019",Vizag,Two Wheelers,769,149,545,241
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2021",Vizag,Other Non-motorized vehicle (E-rickshaw etc.),2,0,2,0
India,Haryana,"Financial Year (Apr - Mar), 2021",Faridabad,Other Non-motorized vehicle (E-rickshaw etc.),1,0,0,1
India,Haryana,"Financial Year (Apr - Mar), 2021",Faridabad,Two Wheelers,232,74,41,182
India,Jharkhand,"Financial Year (Apr - Mar), 2020",Jamshedpur,Pedestrian,21,9,7,5
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2021",Vizag,"Cars, Taxis, Vans & LMV",277,12,20,43
India,Gujarat,"Financial Year (Apr - Mar), 2019",Surat,Others,0,0,0,0
India,Haryana,"Financial Year (Apr - Mar), 2020",Faridabad,Buses,0,0,0,0
India,Gujarat,"Financial Year (Apr - Mar), 2019",Vadodra,Other Non-motorized vehicle (E-rickshaw etc.),0,0,0,0
India,Chandigarh,"Financial Year (Apr - Mar), 2020",Chandigarh,Trucks/Lorries,2,1,0,5
India,Chandigarh,"Financial Year (Apr - Mar), 2019",Chandigarh,Other Non-motorized vehicle (E-rickshaw etc.),5,1,0,8
India,Gujarat,"Financial Year (Apr - Mar), 2021",Ahmedabad,Pedestrian,412,161,173,108
India,Bihar,"Financial Year (Apr - Mar), 2020",Patna,Buses,4,1,3,0
India,Delhi,"Financial Year (Apr - Mar), 2020",Delhi,Buses,8,3,9,5
India,Jharkhand,"Financial Year (Apr - Mar), 2019",Dhanbad,Pedestrian,25,14,9,10
India,Jharkhand,"Financial Year (Apr - Mar), 2021",Dhanbad,Buses,2,3,8,0
India,Kerala,"Financial Year (Apr - Mar), 2019",Thiruvanthapuram,Bicycles,0,0,0,0
India,Chhattisgarh,"Financial Year (Apr - Mar), 2020",Raipur,Others,130,3,3,142
India,Kerala,"Financial Year (Apr - Mar), 2019",Khozikode,Buses,244,36,137,62
India,Jharkhand,"Financial Year (Apr - Mar), 2021",Jamshedpur,"Cars, Taxis, Vans & LMV",14,3,13,2
India,Haryana,"Financial Year (Apr - Mar), 2019",Faridabad,Two Wheelers,299,86,62,253
India,Bihar,"Financial Year (Apr - Mar), 2021",Patna,Trucks/Lorries,31,6,5,1
India,Jharkhand,"Financial Year (Apr - Mar), 2021",Jamshedpur,Buses,7,2,13,0
India,Jharkhand,"Financial Year (Apr - Mar), 2019",Dhanbad,Bicycles,16,7,14,6
India,Gujarat,"Financial Year (Apr - Mar), 2019",Surat,Bicycles,28,11,14,6
India,Gujarat,"Financial Year (Apr - Mar), 2019",Rajkot,Pedestrian,141,50,45,47
India,Gujarat,"Financial Year (Apr - Mar), 2019",Ahmedabad,Others,55,42,21,14
India,Kerala,"Financial Year (Apr - Mar), 2019",Mallapuram,Bicycles,0,0,0,0
India,Gujarat,"Financial Year (Apr - Mar), 2021",Rajkot,Auto Rickshaws,15,2,8,12
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2019",Vijaywada city,Other Non-motorized vehicle (E-rickshaw etc.),0,1,2,13
India,Karnataka,"Financial Year (Apr - Mar), 2021",Bengaluru,Auto Rickshaws,116,13,81,40
India,Jharkhand,"Financial Year (Apr - Mar), 2020",Dhanbad,Trucks/Lorries,11,6,9,0
India,Gujarat,"Financial Year (Apr - Mar), 2021",Surat,Trucks/Lorries,14,7,5,1
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2019",Vizag,Others,73,23,34,18
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2021",Vijaywada city,"Cars, Taxis, Vans & LMV",87,6,5,17
India,Delhi,"Financial Year (Apr - Mar), 2021",Delhi,Buses,3,0,0,4
India,Kerala,"Financial Year (Apr - Mar), 2019",Kochi,"Cars, Taxis, Vans & LMV",737,31,552,212
India,Jharkhand,"Financial Year (Apr - Mar), 2020",Dhanbad,Two Wheelers,101,47,47,9
India,Kerala,"Financial Year (Apr - Mar), 2019",Thrissur,Buses,219,24,148,115
India,Gujarat,"Financial Year (Apr - Mar), 2021",Surat,Other Non-motorized vehicle (E-rickshaw etc.),7,3,4,0
India,Chandigarh,"Financial Year (Apr - Mar), 2021",Chandigarh,Auto Rickshaws,17,7,0,26
India,Gujarat,"Financial Year (Apr - Mar), 2019",Ahmedabad,Two Wheelers,591,126,271,269
India,Kerala,"Financial Year (Apr - Mar), 2019",Kannur,Buses,95,14,53,98
India,Chhattisgarh,"Financial Year (Apr - Mar), 2021",Raipur,Trucks/Lorries,32,10,0,9
India,Chandigarh,"Financial Year (Apr - Mar), 2019",Chandigarh,Buses,2,0,0,23
India,Jharkhand,"Financial Year (Apr - Mar), 2021",Jamshedpur,Pedestrian,32,24,9,0
India,Bihar,"Financial Year (Apr - Mar), 2019",Patna,Pedestrian,43,21,15,12
India,Chhattisgarh,"Financial Year (Apr - Mar), 2019",Raipur,Pedestrian,279,91,17,195
India,Kerala,"Financial Year (Apr - Mar), 2020",Kannur,Buses,18,0,10,23
India,Kerala,"Financial Year (Apr - Mar), 2019",Mallapuram,Buses,268,49,160,108
India,Haryana,"Financial Year (Apr - Mar), 2021",Faridabad,Pedestrian,184,94,17,96
India,Chandigarh,"Financial Year (Apr - Mar), 2020",Chandigarh,"Cars, Taxis, Vans & LMV",26,3,0,28
India,Jharkhand,"Financial Year (Apr - Mar), 2019",Jamshedpur,Others,0,0,0,0
India,Jammu And Kashmir,"Financial Year (Apr - Mar), 2020",Srinagar,Pedestrian,0,0,0,0
India,Haryana,"Financial Year (Apr - Mar), 2020",Faridabad,Pedestrian,146,68,17,72
India,Jharkhand,"Financial Year (Apr - Mar), 2020",Jamshedpur,Trucks/Lorries,8,3,7,0
India,Jharkhand,"Financial Year (Apr - Mar), 2020",Jamshedpur,Buses,7,2,6,1
India,Bihar,"Financial Year (Apr - Mar), 2020",Patna,Two Wheelers,113,69,68,11
India,Gujarat,"Financial Year (Apr - Mar), 2021",Surat,Two Wheelers,375,125,248,72
India,Bihar,"Financial Year (Apr - Mar), 2020",Patna,Auto Rickshaws,33,6,27,0
India,Chandigarh,"Financial Year (Apr - Mar), 2021",Chandigarh,Other Non-motorized vehicle (E-rickshaw etc.),4,1,0,4
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2021",Vizag,Two Wheelers,1352,223,601,409
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2021",Vijaywada city,Two Wheelers,626,143,279,343
India,Karnataka,"Financial Year (Apr - Mar), 2021",Bengaluru,Buses,16,3,17,11
India,Karnataka,"Financial Year (Apr - Mar), 2020",Bengaluru,Pedestrian,745,163,416,194
India,Chandigarh,"Financial Year (Apr - Mar), 2019",Chandigarh,Two Wheelers,124,46,11,98
India,Gujarat,"Financial Year (Apr - Mar), 2021",Ahmedabad,Trucks/Lorries,34,18,10,24
India,Gujarat,"Financial Year (Apr - Mar), 2021",Rajkot,"Cars, Taxis, Vans & LMV",18,11,4,6
India,Kerala,"Financial Year (Apr - Mar), 2019",Mallapuram,Others,67,10,43,21
India,Kerala,"Financial Year (Apr - Mar), 2019",Khozikode,Other Non-motorized vehicle (E-rickshaw etc.),0,0,0,0
India,Gujarat,"Financial Year (Apr - Mar), 2020",Rajkot,Two Wheelers,248,68,119,71
India,Kerala,"Financial Year (Apr - Mar), 2019",Thrissur,Trucks/Lorries,115,28,68,47
India,Delhi,"Financial Year (Apr - Mar), 2021",Delhi,Other Non-motorized vehicle (E-rickshaw etc.),107,13,5,128
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2021",Vijaywada city,Auto Rickshaws,53,8,29,46
India,Gujarat,"Financial Year (Apr - Mar), 2020",Rajkot,Auto Rickshaws,27,4,11,7
India,Jammu And Kashmir,"Financial Year (Apr - Mar), 2019",Srinagar,Pedestrian,0,0,0,0
India,Kerala,"Financial Year (Apr - Mar), 2019",Mallapuram,Pedestrian,0,0,0,0
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2019",Lucknow,Two Wheelers,156,49,56,31
India,Punjab,"Financial Year (Apr - Mar), 2020",Amritsar,Auto Rickshaws,5,4,0,1
India,Telangana,"Financial Year (Apr - Mar), 2021",Hyderabad,Two Wheelers,1187,157,250,985
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2020",Indore,Other Non-motorized vehicle (E-rickshaw etc.),12,0,4,8
India,West Bengal,"Financial Year (Apr - Mar), 2020",Asansol Durgapur,Others,17,14,8,3
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2021",Gwalior,Other Non-motorized vehicle (E-rickshaw etc.),0,0,0,0
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2019",Indore,Buses,66,3,0,18
India,Rajasthan,"Financial Year (Apr - Mar), 2020",Jodhpur,Others,1,0,0,1
India,West Bengal,"Financial Year (Apr - Mar), 2021",Kolkata,Other Non-motorized vehicle (E-rickshaw etc.),4,4,0,0
India,Maharashtra,"Financial Year (Apr - Mar), 2020",Nashik,Others,4,3,2,0
India,Rajasthan,"Financial Year (Apr - Mar), 2020",Kota,Trucks/Lorries,0,0,0,0
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2019",Jabalpur,Bicycles,229,25,48,244
India,Tamil Nadu,"Financial Year (Apr - Mar), 2020",Madurai,Auto Rickshaws,15,4,1,13
India,Tamil Nadu,"Financial Year (Apr - Mar), 2020",Coimbatore,Auto Rickshaws,6,0,5,3
India,Punjab,"Financial Year (Apr - Mar), 2019",Amritsar,Others,13,10,8,0
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2020",Gwalior,Two Wheelers,150,43,20,38
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2020",Agra,Two Wheelers,364,170,146,85
India,Maharashtra,"Financial Year (Apr - Mar), 2019",Nagpur,Buses,6,0,10,0
India,West Bengal,"Financial Year (Apr - Mar), 2019",Kolkata,Trucks/Lorries,64,3,0,6
India,Punjab,"Financial Year (Apr - Mar), 2020",Ludhiana,Auto Rickshaws,50,44,10,0
India,Tamil Nadu,"Financial Year (Apr - Mar), 2019",Tiruchirapalli,Pedestrian,34,12,1,28
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2020",Lucknow,Other Non-motorized vehicle (E-rickshaw etc.),31,19,9,8
India,Punjab,"Financial Year (Apr - Mar), 2021",Ludhiana,Two Wheelers,178,141,33,9
India,Tamil Nadu,"Financial Year (Apr - Mar), 2021",Madurai,Auto Rickshaws,20,2,11,7
India,Maharashtra,"Financial Year (Apr - Mar), 2021",Nashik,Two Wheelers,286,118,234,33
India,Maharashtra,"Financial Year (Apr - Mar), 2019",Aurangabad,Trucks/Lorries,6,3,1,3
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2019",Kanpur,Other Non-motorized vehicle (E-rickshaw etc.),212,84,135,44
India,Tamil Nadu,"Financial Year (Apr - Mar), 2021",Tiruchirapalli,Auto Rickshaws,5,1,3,3
India,Maharashtra,"Financial Year (Apr - Mar), 2019",Aurangabad,Two Wheelers,270,109,158,54
India,Rajasthan,"Financial Year (Apr - Mar), 2019",Jodhpur,"Cars, Taxis, Vans & LMV",433,207,104,225
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2020",Kanpur,Trucks/Lorries,296,5,8,0
India,Kerala,"Financial Year (Apr - Mar), 2020",Mallapuram,Trucks/Lorries,176,2,12,5
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2019",Agra,Bicycles,39,11,16,19
India,Kerala,"Financial Year (Apr - Mar), 2021",Khozikode,Trucks/Lorries,94,2,1,1
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2020",Meerut,"Cars, Taxis, Vans & LMV",146,59,5,101
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2020",Gwalior,Buses,113,16,8,69
India,Rajasthan,"Financial Year (Apr - Mar), 2020",Kota,Pedestrian,80,15,17,52
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2020",Gwalior,Others,466,49,21,394
India,Tamil Nadu,"Financial Year (Apr - Mar), 2020",Chennai,Trucks/Lorries,194,47,72,162
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2020",Ghaziabad,Other Non-motorized vehicle (E-rickshaw etc.),0,0,0,0
India,Rajasthan,"Financial Year (Apr - Mar), 2019",Jaipur,Auto Rickshaws,45,9,15,27
India,Tamil Nadu,"Financial Year (Apr - Mar), 2019",Madurai,Trucks/Lorries,65,16,1,44
India,Rajasthan,"Financial Year (Apr - Mar), 2020",Kota,Buses,2,0,1,0
India,Kerala,"Financial Year (Apr - Mar), 2020",Kollam,Bicycles,0,0,0,0
India,Maharashtra,"Financial Year (Apr - Mar), 2021",Pune,Two Wheelers,420,137,289,52
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2020",Allahabad(Prayagraj),Bicycles,82,25,6,56
India,Punjab,"Financial Year (Apr - Mar), 2019",Amritsar,Other Non-motorized vehicle (E-rickshaw etc.),2,2,0,0
India,Tamil Nadu,"Financial Year (Apr - Mar), 2021",Tiruchirapalli,Other Non-motorized vehicle (E-rickshaw etc.),1,1,0,0
India,Rajasthan,"Financial Year (Apr - Mar), 2019",Kota,Trucks/Lorries,113,67,11,76
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2020",Kanpur,Auto Rickshaws,38,10,20,16
India,Punjab,"Financial Year (Apr - Mar), 2021",Amritsar,Auto Rickshaws,5,3,1,0
India,Kerala,"Financial Year (Apr - Mar), 2021",Thrissur,Auto Rickshaws,66,13,41,33
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2021",Varanasi,Others,65,28,30,18
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2021",Kanpur,"Cars, Taxis, Vans & LMV",261,121,138,24
India,Tamil Nadu,"Financial Year (Apr - Mar), 2020",Coimbatore,"Cars, Taxis, Vans & LMV",21,0,13,8
India,Tamil Nadu,"Financial Year (Apr - Mar), 2020",Tiruchirapalli,Two Wheelers,247,45,0,259
India,Kerala,"Financial Year (Apr - Mar), 2020",Kannur,Pedestrian,124,18,72,36
India,Maharashtra,"Financial Year (Apr - Mar), 2021",Mumbai,Buses,53,11,29,16
India,Maharashtra,"Financial Year (Apr - Mar), 2020",Nagpur,Others,1,0,1,1
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2019",Bhopal,Buses,218,12,6,127
India,Kerala,"Financial Year (Apr - Mar), 2020",Thiruvanthapuram,Two Wheelers,610,66,522,97
